city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Carnarvon,-30.9667,22.1333,South Africa,ZA,Northern Cape,,5785,5785
Genadendal,-34.0333,19.5500,South Africa,ZA,Western Cape,,5663,5663
Riviersonderend,-34.1500,19.9000,South Africa,ZA,Western Cape,,5245,5245
Onrus,-34.4122,19.1700,South Africa,ZA,Western Cape,,5151,5151
Pofadder,-29.1286,19.3947,South Africa,ZA,Northern Cape,,4220,4220
Barrydale,-33.9000,20.7333,South Africa,ZA,Western Cape,,4156,4156
Steytlerville,-33.3328,24.3447,South Africa,ZA,Eastern Cape,,3986,3986
Rawsonville,-33.6847,19.3150,South Africa,ZA,Western Cape,,3099,3099
Fraserburg,-31.9144,21.5119,South Africa,ZA,Northern Cape,,3029,3029
Suurbraak,-34.0049,20.6528,South Africa,ZA,Western Cape,,2252,2252
Nelspruit,-25.4745,30.9703,South Africa,ZA,Mpumalanga,admin,,
